
2024/07/04 (19:54:59) | ===> btop++ v.1.3.2
2024/07/04 (19:54:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/04 (19:55:06) | ===> btop++ v.1.3.2
2024/07/04 (19:55:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/04 (19:56:23) | ===> btop++ v.1.3.2
2024/07/04 (19:56:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/04 (19:56:46) | ===> btop++ v.1.3.2
2024/07/04 (19:56:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/04 (20:22:00) | ===> btop++ v.1.3.2
2024/07/04 (20:22:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/05 (08:15:40) | ===> btop++ v.1.3.2
2024/07/05 (08:15:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/05 (09:16:12) | ===> btop++ v.1.3.2
2024/07/05 (09:16:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/05 (09:49:30) | ===> btop++ v.1.3.2
2024/07/05 (09:49:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/05 (09:55:33) | ===> btop++ v.1.3.2
2024/07/05 (09:55:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/05 (10:02:20) | ===> btop++ v.1.3.2
2024/07/05 (10:02:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/05 (10:05:22) | ===> btop++ v.1.3.2
2024/07/05 (10:05:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/10 (22:41:06) | ===> btop++ v.1.3.2
2024/07/10 (22:41:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/26 (15:26:05) | ===> btop++ v.1.3.2
2024/07/26 (15:26:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
